Company Name,Symbol,Year,Month,Day,Closing Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Fairfax Financial Holdings Limited,FFH,2021,3,2,528.08,Financial Services,Insurance—Property & Casualty,14280000000.0,83.96,N/A,1.1,0.024399999999999998,1.5897999999999999,90.15618898867629
Boralex Inc.,BLX,2021,3,2,43.32,Utilities,Utilities—Renewable,4450000000.0,78.76,2.34,4.49,0.015,1.2,348.4063054187193
Knight Therapeutics Inc.,GUD,2021,3,2,5.17,Healthcare,Drug Manufacturers—Specialty & Generic,673890000.0,25.98,606.5,0.76,N/A,0.0,19.7448
Newcrest Mining Limited,NCM,2021,2,26,23.75,Basic Materials,Gold,19660000000.0,19.78,N/A,2.01,0.008,0.0,39.4422619047619
Wilmington Capital Management Inc.,WCM-A,2021,2,24,3.85,Financial Services,Asset Management,47900000.0,N/A,N/A,0.84,0.5,N/A,N/A
PHX Energy Services Corp.,PHX,2021,3,2,2.71,Energy,Oil & Gas Drilling,135950000.0,N/A,N/A,1.04,0.0092,0.0,N/A
Ascot Resources Ltd.,AOT,2021,3,2,1.06,Basic Materials,Other Industrial Metals & Mining,294810000.0,N/A,N/A,1.64,N/A,0.0,N/A
SunOpta Inc.,SOY,2021,3,2,19.4,Consumer Defensive,Packaged Foods,1740000000.0,N/A,N/A,13.12,N/A,0.0,N/A
Jaguar Mining Inc.,JAG,2021,3,2,7.83,Basic Materials,Gold,563680000.0,11.4,N/A,3.31,0.039599999999999996,0.08650000000000001,36.29665255867641
Loblaw Companies Limited,L,2021,3,2,62.7,Consumer Defensive,Grocery Stores,21780000000.0,20.49,2.98,2.02,0.0217,0.4183,40.51071743173142
Melcor Real Estate Investment Trust,MR-UN,2021,3,2,5.14,Real Estate,REIT—Diversified,67080000.0,N/A,N/A,0.33,0.0812,N/A,N/A
Alamos Gold Inc.,AGI,2021,3,2,9.51,Basic Materials,Gold,3740000000.0,25.84,0.14,1.31,0.0138,0.1757,33.38962319984218
Tanzanian Gold Corporation,TNX,2021,3,2,0.88,Basic Materials,Gold,220530000.0,N/A,N/A,5.47,N/A,0.0,N/A
Argonaut Gold Inc.,AR,2021,3,2,2.1,Basic Materials,Gold,638770000.0,34.43,N/A,0.8,N/A,0.0,27.544
Restaurant Brands International Limited Partnership,QSP-UN,2021,2,26,75.5,Consumer Cyclical,Restaurants,26960000000.0,36.74,N/A,7.25,0.0358,1.284,257.15871789920834
Etrion Corporation,ETX,2021,3,2,0.39,Utilities,Utilities—Renewable,130300000.00000001,6.19,-2.99,5.2,N/A,0.0,32.188
Forza Petroleum Limited,FORZ,2021,3,2,0.105,Energy,Oil & Gas E&P,60710000.0,N/A,N/A,0.18,N/A,0.0,N/A
Questerre Energy Corporation,QEC,2021,3,2,0.225,Energy,Oil & Gas E&P,96190000.0,N/A,N/A,0.63,N/A,0.0,N/A
Black Diamond Group Limited,BDI,2021,3,2,3.24,Industrials,Rental & Leasing Services,188740000.0,N/A,N/A,0.82,N/A,0.0,N/A
Digital Consumer Dividend Fund,MDC-UN,2021,3,2,12.69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Empire Company Limited,EMP-A,2021,3,2,35.88,Consumer Defensive,Grocery Stores,9660000000.0,14.89,0.92,2.3,0.0146,0.2075,33.754188842893754
Suncor Energy Inc.,SU,2021,3,2,26.11,Energy,Oil & Gas Integrated,39750000000.0,N/A,-2.31,1.11,0.032799999999999996,N/A,N/A
New Pacific Metals Corp.,NUAG,2021,3,2,6.48,Basic Materials,Other Precious Metals & Mining,994490000.0,249.23,N/A,6.2,N/A,0.0,1545.2259999999999
Canfor Corporation,CFP,2021,3,2,24.9,Basic Materials,Lumber & Wood Production,3120000000.0,5.73,N/A,1.41,N/A,0.0,8.0793
WPT Industrial Real Estate Investment Trust,WIR-UN,2021,3,2,19.27,Real Estate,REIT—Industrial,1610000000.0,7.9,N/A,1.4,0.0507,0.0,10.526315789473685
Lundin Mining Corporation,LUN,2021,3,2,14.4,Basic Materials,Copper,10620000000.0,62.61,0.36,2.66,0.0165,0.5149,163.83925233644862
Swiss Water Decaffeinated Coffee Inc.,SWP,2021,3,2,3.43,Consumer Defensive,Packaged Foods,31140000.0,10.69,N/A,0.61,N/A,0.1953,6.520899999999999
Cipher Pharmaceuticals Inc.,CPH,2021,3,2,0.89,Healthcare,Drug Manufacturers—Specialty & Generic,23870000.0,3.14,N/A,0.73,N/A,0.0,2.2922000000000002
Citadel Income Fund,CTF-UN,2021,3,2,3.19,N/A,N/A,48370000.0,N/A,N/A,0.84,N/A,N/A,N/A
Logistec Corporation,LGT-A,2021,3,2,38.0,Industrials,Marine Shipping,485410000.0,15.83,N/A,1.66,0.0098,0.1478,26.02277678748267
Fiera Capital Corporation,FSZ,2021,3,2,10.48,Financial Services,Asset Management,1090000000.0,1164.44,1.04,2.14,0.079,84.0,2309.4546802594996
WELL Health Technologies Corp.,WELL,2021,3,2,8.82,Healthcare,Health Information Services,1430000000.0,N/A,-3.39,14.85,N/A,0.0,N/A
Enthusiast Gaming Holdings Inc.,EGLX,2021,3,2,7.14,Communication Services,Electronic Gaming & Multimedia,825860000.0,N/A,N/A,4.98,N/A,0.0,N/A
Ero Copper Corp.,ERO,2021,3,2,21.34,Basic Materials,Copper,1850000000.0,59.11,10.62,14.92,N/A,0.0,881.9212
Synex International Inc.,SXI,2021,3,2,0.29,Utilities,Utilities—Regulated Electric,11440000.0,N/A,N/A,2.04,N/A,0.0,N/A
Optiva Inc.,OPT,2021,3,2,35.0,Technology,Software—Infrastructure,186060000.0,N/A,N/A,N/A,N/A,0.0,N/A
Guardian Capital Group Limited,GCG,2021,3,2,26.4,Financial Services,Asset Management,730360000.0,N/A,N/A,1.06,0.023700000000000002,N/A,N/A
Fennec Pharmaceuticals Inc.,FRX,2021,3,2,9.36,Healthcare,Biotechnology,241580000.0,N/A,N/A,7.75,N/A,0.0,N/A
Aleafia Health Inc.,AH,2021,3,2,0.73,Healthcare,Drug Manufacturers—Specialty & Generic,219930000.0,N/A,N/A,0.59,N/A,0.0,N/A
Global Dividend Growth Split Corp.,GDV,2021,3,2,11.44,Financial Services,Asset Management,40600000.0,N/A,N/A,N/A,0.10439999999999999,N/A,N/A
Dream Unlimited Corp.,DRM,2021,3,2,22.72,Real Estate,Real Estate—Development,1020000000.0,6.86,N/A,0.73,0.0106,0.0725,4.95527409459727
