Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Brookfield Business Partners L.P.,BBU-UN,2021,1,6,48.55,Industrials,Conglomerates,3880000000.0,N/A,N/A,4.21,0.0066,N/A,N/A
Brookfield Business Partners L.P.,BBU-UN,2021,1,7,48.44,Industrials,Conglomerates,3870000000.0,N/A,N/A,4.2,0.006500000000000001,N/A,N/A
Brookfield Business Partners L.P.,BBU-UN,2021,1,8,48.8,Industrials,Conglomerates,3900000000.0,N/A,N/A,4.23,0.0066,N/A,N/A
Brookfield Business Partners L.P.,BBU-UN,2021,1,11,48.11,Industrials,Conglomerates,3840000000.0,N/A,N/A,4.17,0.0066,N/A,N/A
Brookfield Business Partners L.P.,BBU-UN,2021,1,12,48.68,Industrials,Conglomerates,3890000000.0,N/A,N/A,4.22,0.006500000000000001,N/A,N/A
Brookfield Business Partners L.P.,BBU-UN,2021,1,13,48.4,Industrials,Conglomerates,3870000000.0,N/A,N/A,4.2,0.0066,N/A,N/A
Brookfield Business Partners L.P.,BBU-UN,2021,1,14,48.45,Industrials,Conglomerates,3870000000.0,N/A,N/A,4.2,0.006500000000000001,N/A,N/A
Brookfield Business Partners L.P.,BBU-UN,2021,1,15,49.0,Industrials,Conglomerates,3920000000.0,N/A,N/A,4.25,0.0066,N/A,N/A
Brookfield Business Partners L.P.,BBU-UN,2021,1,18,48.94,Industrials,Conglomerates,3910000000.0,N/A,N/A,4.24,0.0066,N/A,N/A
Brookfield Business Partners L.P.,BBU-UN,2021,1,19,48.76,Industrials,Conglomerates,3900000000.0,N/A,N/A,4.23,0.006500000000000001,N/A,N/A
Brookfield Business Partners L.P.,BBU-UN,2021,1,20,48.86,Industrials,Conglomerates,3900000000.0,N/A,N/A,4.24,0.006500000000000001,N/A,N/A
Brookfield Business Partners L.P.,BBU-UN,2021,1,21,47.83,Industrials,Conglomerates,3820000000.0,N/A,N/A,4.15,0.006500000000000001,N/A,N/A
Brookfield Business Partners L.P.,BBU-UN,2021,1,22,48.36,Industrials,Conglomerates,3860000000.0,N/A,N/A,4.19,0.006500000000000001,N/A,N/A
Brookfield Business Partners L.P.,BBU-UN,2021,1,25,47.19,Industrials,Conglomerates,3770000000.0,N/A,N/A,4.09,0.0067,N/A,N/A
Brookfield Business Partners L.P.,BBU-UN,2021,1,26,45.75,Industrials,Conglomerates,3660000000.0,N/A,N/A,3.97,0.0066,N/A,N/A
Brookfield Business Partners L.P.,BBU-UN,2021,1,27,46.61,Industrials,Conglomerates,3720000000.0,N/A,N/A,4.04,0.0068000000000000005,N/A,N/A
Brookfield Business Partners L.P.,BBU-UN,2021,1,28,46.69,Industrials,Conglomerates,3730000000.0,N/A,N/A,4.05,0.006999999999999999,N/A,N/A
Brookfield Business Partners L.P.,BBU-UN,2021,1,29,46.3,Industrials,Conglomerates,3700000000.0,N/A,N/A,4.02,0.0068000000000000005,N/A,N/A
Brookfield Business Partners L.P.,BBU-UN,2021,2,1,47.57,Industrials,Conglomerates,3800000000.0,N/A,N/A,4.13,0.0068000000000000005,N/A,N/A
Brookfield Business Partners L.P.,BBU-UN,2021,2,2,48.15,Industrials,Conglomerates,3850000000.0,N/A,N/A,4.18,0.0069,N/A,N/A
